GOOGL
Price            Close        High         Low        Open     Volume
Ticker           GOOGL       GOOGL       GOOGL       GOOGL      GOOGL
Date                                                                 
2025-09-02  229.497528  230.626439  226.750191  229.027982   44075600
2025-09-03  238.239059  238.618696  234.133039  236.980285   66427800
2025-09-04  239.547775  239.667654  236.510726  238.219062   47549400
2025-09-05  239.457870  241.086297  238.259036  239.767568   54870400
2025-09-08  237.649628  239.917418  236.111111  239.068251   48999500
2025-09-09  234.123047  238.548749  233.134000  236.770474   66313900
2025-09-10  226.570358  232.194911  225.731175  231.965138   83440800
2025-09-11  229.807220  230.226812  226.430489  226.660277   50208600
2025-09-12  233.843323  234.282884  228.798210  228.998014   55824200
2025-09-15  236.470764  237.959327  234.802383  236.770477   42699500
2025-09-16  237.919357  240.986391  236.091143  236.950295   63421100
2025-09-17  238.758560  239.867486  237.499771  238.738575   46508000
2025-09-18  237.649628  240.966404  236.420808  239.737600   44249600
2025-09-19  245.262238  246.061466  239.977368  240.996369  163741300
2025-09-22  255.831985  256.391471  247.879703  248.059536  105517400
2025-09-23  254.183594  257.090779  253.334426  255.632202   60275200
2025-09-24  252.065643  255.492329  250.796869  254.972829   42303700
2025-09-25  256.621216  256.920944  251.466225  252.964772   55202100
2025-09-26  255.212601  257.350528  253.534220  253.853917   46076300
2025-09-29  254.183594  254.753049  252.764971  254.313473   40127700
2025-09-30  254.383408  255.672152  252.864875  254.613181   37704300
2025-10-01  255.202606  258.539383  254.683106  254.793000   48713900
2025-10-02  256.880981  257.929952  253.903857  256.331496   42630200
2025-10-03  257.770111  258.988931  253.704061  254.423365   49155600
2025-10-06  256.441406  258.819106  254.802995  257.740135   44664100
2025-10-07  256.231628  257.150720  255.182627  256.561295   31955800
2025-10-08  257.810089  258.269635  255.861965  256.271572   36496900
2025-10-09  253.793961  257.750132  252.894838  257.560314   38322000
2025-10-10  245.032471  256.131712  243.763696  254.693104   61999100
2025-10-13  247.420151  249.448184  245.322178  249.138486   38142900
2025-10-14  247.530045  248.609000  244.463010  246.361180   35478000
2025-10-15  249.098526  251.576135  247.230342  249.248390   33893600
2025-10-16  247.210358  248.798814  244.892612  248.009586   39777000
2025-10-17  252.045654  253.134610  247.030527  247.779801   49147000
2025-10-20  261.986023  264.123965  255.382439  255.642182   90483000
2025-10-21  262.515503  265.033082  261.576411  261.626381   46695900
2025-10-22  258.199707  262.595440  255.182612  262.395621   45015300
2025-10-23  259.328583  260.367584  257.760126  259.688250   32754900
2025-10-24  262.565491  263.874220  258.929001  260.937064   38253700
2025-10-27  268.549652  268.859349  264.393677  264.623466   44888200
2025-10-28  268.739471  269.628624  267.890289  268.729471   41534800
2025-10-29  269.438812  271.147148  266.851294  269.019206   51086700
2025-10-30  271.137146  273.874513  268.219991  271.726571   69886500
2025-10-31  270.108154  277.051436  268.899335  276.721738   86167100
